Time [s], Intensity [dB],
0.035200, -39.357546,
0.035300, -13.842647,
0.035400, -56.189544,
0.035500, -22.946365,
0.035600, -32.684652,
0.035700, 85.033191,
0.035800, 7.863074,
0.035900, -28.003724,
0.036000, 0.283583,
0.036100, -35.122841,
0.036200, -22.538262,
0.036300, -11.171665,
0.036400, 34.744350,
0.036500, 19.661197,
0.036600, 20.930195,
0.036700, -35.111858,
0.036800, -9.376318,
0.036900, -15.966389,
0.037000, 27.841871,
0.037100, -8.506648,
0.037200, -26.434625,
0.037300, 20.213996,
0.037400, 41.426431,
0.037500, 18.434995,
0.037600, -43.902271,
0.037700, -17.198880,
0.037800, -1.742805,
0.037900, -20.563442,
0.038000, -14.286757,
0.038100, -8.687797,
0.038200, 33.568224,
0.038300, 59.191494,
0.038400, 49.225619,
0.038500, 96.931899,
0.038600, 56.532876,
0.038700, 41.835384,
0.038800, -7.971883,
0.038900, -57.768368,
0.039000, -39.807370,
0.039100, -44.391356,
0.039200, -44.683576,
0.039300, -71.345418,
0.039400, -19.316333,
0.039500, -49.213511,
0.039600, -52.366362,
0.039700, -33.851231,
0.039800, -53.873579,
0.039900, -52.729828,
0.040000, -34.468694,
0.040100, -21.105170,
0.040200, -22.799923,
0.040300, -2.031577,
0.040400, 5.723375,
0.040500, 111.575999,
0.040600, 37.774523,
0.040700, 88.132774,
0.040800, 128.458858,
0.040900, 63.392460,
0.041000, 40.984701,
0.041100, 35.096108,
0.041200, 10.305466,
0.041300, 20.613407,
0.041400, -46.799652,
0.041500, -61.714593,
0.041600, -24.038997,
0.041700, -28.622447,
0.041800, -21.508529,
0.041900, -79.838959,
0.042000, -31.718601,
0.042100, -34.101845,
0.042200, -39.361798,
0.042300, -11.904877,
0.042400, 5.608922,
0.042500, -11.656672,
0.042600, -33.316706,
0.042700, -8.056728,
0.042800, -26.081415,
0.042900, -32.647747,
0.043000, -21.139323,
0.043100, -56.946109,
0.043200, 3.195641,
0.043300, 26.460057,
0.043400, 44.352977,
0.043500, -3.912147,
0.043600, -10.709698,
0.043700, -39.480844,
0.043800, -32.030622,
0.043900, -23.393736,
0.044000, -22.706439,
0.044100, 7.340025,
0.044200, 23.353867,
0.044300, 60.658658,
0.044400, 14.608069,
0.044500, 26.612615,
0.044600, 39.615012,
0.044700, 26.196215,
0.044800, -7.290006,
0.044900, -19.744137,
0.045000, -35.715635,
0.045100, -18.526677,
0.045200, -11.345638,
0.045300, -17.660294,
0.045400, -26.292597,
0.045500, -41.628105,
0.045600, -52.044849,
0.045700, -8.447624,
0.045800, 17.213703,
0.045900, 47.954108,
0.046000, 53.688797,
0.046100, -12.827232,
0.046200, -7.521223,
